City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,5.85,93,75,1.54,CA,1722820120
1,thompson,55.7435,-97.8558,19.52,36,8,3.98,CA,1722820121
2,talnakh,69.4865,88.3972,12.33,54,0,5.41,RU,1722820122
3,waitangi,-43.9535,-176.5597,11.01,74,100,1.34,NZ,1722820124
4,mili,6.0815,171.735,28.61,77,34,6.35,MH,1722820125
5,antsiranana,-12.2787,49.2917,20.94,76,7,6.34,MG,1722820126
6,levuka,50.1834,-105.4011,21.96,47,100,6.74,CA,1722820127
7,piti village,13.4626,144.6933,30.49,82,0,5.14,GU,1722820128
8,port-aux-francais,-49.35,70.2167,1.82,67,10,7.32,TF,1722819767
9,auki,-8.7676,160.7034,25.22,95,100,2.9,SB,1722819542
10,grytviken,-54.2811,-36.5092,-1.39,84,100,4.67,GS,1722819759
11,manokwari,-0.8667,134.0833,24.02,91,100,1.22,ID,1722820069
12,woolgoolga,-30.1106,153.2007,18.93,61,94,3.63,AU,1722819877
13,rafah,31.287,34.2595,25.59,66,0,1.53,PS,1722820134
14,bethel,41.3712,-73.414,23.14,89,0,0.0,US,1722819825
15,enewetak,11.3474,162.3373,28.89,76,100,4.11,MH,1722819545
16,chonchi,-42.6128,-73.8092,7.84,98,100,2.41,CL,1722819773
17,hawaiian paradise park,19.5933,-154.9731,26.05,87,100,7.2,US,1722819857
18,sayat,38.7839,63.8803,27.65,20,0,5.81,TM,1722820139
19,gao,16.6362,1.637,27.14,66,100,5.71,ML,1722820141
20,margaret river,-33.95,115.0667,15.93,78,98,6.85,AU,1722820142
21,port mathurin,-19.6833,63.4167,22.11,73,5,6.41,MU,1722819763
22,tallulah,32.4085,-91.1868,28.03,78,0,0.0,US,1722820144
23,longyearbyen,78.2186,15.6401,8.91,87,75,4.63,SJ,1722819826
24,adamstown,-25.066,-130.1015,21.15,79,100,7.69,PN,1722819784
25,atafu village,-8.5421,-172.5159,27.86,80,100,5.29,TK,1722819876
26,hermanus,-34.4187,19.2345,9.89,67,70,8.16,ZA,1722819788
27,bratske,47.865,31.5731,17.84,73,49,3.6,UA,1722820149
28,whitehorse,60.7161,-135.0538,23.94,29,20,1.34,CA,1722819807
29,makushino,55.2103,67.2442,13.84,95,7,3.17,RU,1722820151
30,sefwi wiawso,6.2044,-2.4886,21.42,95,100,0.88,GH,1722820152
31,kasongo,-4.45,26.6667,22.32,34,6,0.86,CD,1722820153
32,la ronge,55.1001,-105.2842,18.15,39,67,1.85,CA,1722820154
33,puerto natales,-51.7236,-72.4875,0.8,98,100,0.65,CL,1722819768
34,yuzhno-kurilsk,44.0306,145.8556,16.83,99,100,2.3,RU,1722820157
35,madalena,41.2162,-8.3345,18.2,87,0,0.85,PT,1722820159
36,vilyuysk,63.7553,121.6247,20.63,37,62,5.16,RU,1722819587
37,itamaraca,-7.7478,-34.8256,24.03,85,68,5.88,BR,1722819706
38,blackmans bay,-43.0167,147.3167,13.07,62,8,0.45,AU,1722819755
39,kununurra,-15.7667,128.7333,26.99,44,3,4.12,AU,1722819876
40,port elizabeth,-33.918,25.5701,11.16,57,0,7.72,ZA,1722819565
41,albany,42.6001,-73.9662,24.24,77,0,0.45,US,1722820066
